Date,Open,High,Low,Close,Volume,Change
2015-04-06,42550.0,42535,42360,42395,939,0.0006877041683163
2015-04-07,42500.0,42550,42415,42420,64,0.0029044055739831
2015-04-08,42725.0,42505,42420,42425,128,-0.0001827937439852
2015-04-09,42695.0,42725,42555,42560,946,0.0122581326454648
2015-04-10,43490.0,43290,42550,43200,1789,0.0553517286875897
2015-04-13,43285.0,43675,43150,43345,3883,0.0122755946511242
2015-04-14,43215.0,43285,42990,43045,965,-0.0260725709482429
2015-04-15,43860.0,43475,43200,43455,6483,0.0350550333747148
2015-04-16,74490.0,74970,74080,74215,43770,0.0354562968215736
2015-04-17,74835.0,76335,74225,74635,64504,0.0345252058165266
2015-04-20,74735.0,74895,74495,74545,86942,-0.0091525654772686
2015-04-21,74720.0,74800,74645,74720,92831,0.0148321617226481
2015-04-22,75225.0,74865,74480,74680,111657,-0.0005011202835873
2015-04-23,75450.0,75290,75020,75100,108090,0.0343925003292664
2015-04-24,85975.0,85900,85515,85630,113074,0.0359091743895159
2015-04-27,84425.0,86060,85545,85645,99589,0.0011468827919519
2015-04-28,85300.0,85690,84260,85445,113940,-0.0163315549674953
2015-04-29,84645.0,85455,85140,85315,160463,-0.012011646343947
2015-04-30,84725.0,84745,84385,84495,641553,-0.0731551626023096
2015-05-04,84540.0,84910,84540,84775,467832,0.0275781201552139
2015-05-06,84235.0,84850,84030,84310,472986,-0.0477506126181736
2015-05-07,84050.0,84410,83870,84200,261776,-0.0035566520356063
2015-05-08,84380.0,84185,83850,83970,272867,-0.0141497956209534
2015-05-11,84315.0,85185,84145,84385,259493,0.0329667166929922
2015-05-12,84160.0,84390,84150,84225,482146,-0.0130020507564609
2015-05-13,84715.0,84870,83925,84550,394383,0.0222690559697406
2015-05-14,85005.0,84815,84435,84605,378294,0.007281737285053
2015-05-15,84625.0,85095,84470,84655,302932,0.0039971879387047
2015-05-18,85190.0,85095,84440,84890,314290,0.01447175908755
2015-05-19,85380.0,85410,84915,85135,287140,0.0231092085792286
2015-05-20,85705.0,85550,85170,85370,305791,0.0263479588846267
2015-05-21,85085.0,85755,85060,85220,258169,-0.0141998157319728
2015-05-22,85195.0,85380,84615,84940,228492,-0.024882263592865
2015-05-26,84520.0,86860,84670,86620,287066,0.1572992132824957
2015-05-27,84430.0,84690,83615,83895,239016,-0.21925668025818
2015-05-28,84465.0,84555,83960,84185,236545,0.0252962854627166
2015-05-29,84585.0,84570,84000,84230,222313,0.0034809387336694
2015-06-01,83635.0,85075,83330,83955,256062,-0.0285229884729317
2015-06-02,83050.0,83810,82790,82925,242681,-0.0868915167007602
2015-06-03,82865.0,84115,82345,82800,245733,-0.0166472045116281
2015-06-04,85020.0,83380,82505,83020,249990,0.0216770071548662
2015-06-05,82215.0,85110,82440,82570,255230,-0.0357590067875807
2015-06-08,82695.0,82760,81950,82555,227415,-0.0058692641820477
2015-06-09,82810.0,82875,82485,82600,235832,0.0053443407295144
2015-06-10,82190.0,83245,82090,82275,276072,-0.0312525812840851
2015-06-11,82305.0,82335,81865,81995,247725,-0.0236022073856216
2015-06-12,81670.0,82560,81720,81935,231775,-0.006584144477866
2015-06-15,81625.0,81885,81335,81550,210581,-0.0349138387729428
2015-06-16,81475.0,82050,81165,81720,200621,0.0094834292131926
2015-06-17,81640.0,81620,81365,81495,186699,-0.0211671361022752
2015-06-18,81535.0,82000,81270,81575,207657,0.003392474396737
2015-06-19,122750.0,122270,121835,122075,206212,-0.0150535677055604
2015-06-22,122920.0,123020,122375,122675,307864,0.0619702034752326
2015-06-23,123120.0,123160,122480,122870,284146,0.0221104674301858
2015-06-24,123285.0,123360,122890,123160,262104,0.0245047447485442
2015-06-25,123560.0,123530,123060,123385,291172,0.0218799629801176
2015-06-26,243495.0,247575,246570,247435,325025,0.0801381034515582
2015-06-29,242100.0,244220,242560,243175,335175,-0.4107936090062837
2015-06-30,245250.0,242530,241330,241945,330225,-0.1172814758272138
