Date,Open,High,Low,Close,Volume,Change
1983-04-20,119330239.0,125843199,119269213,120609309,5090755,0.5988809821501442
1983-04-21,119082928.0,123273453,118537346,119348208,6818317,1.541952316052311
1983-04-22,117501051.0,119375161,116979969,117520959,5720172,-0.3831164160579909
1983-04-23,119593018.0,118289900,116436467,117491137,1724225,-1.6955876834068688
1983-04-25,130307180.0,125364662,119572209,125335437,1952718,0.3207210051091193
1983-04-26,123998803.0,131880439,124529201,124534932,2602682,-0.4044034194732179
1983-04-27,131072614.0,132120086,123206526,128452288,2363387,-0.3089363986250104
1983-04-28,126115487.0,131088328,124793821,125851589,2858768,-0.4949800162567676
1983-04-29,129811816.0,128755907,125848401,128479464,2687024,0.1188651179603725
1983-04-30,131170021.0,131139654,128503939,128522660,5724876,1.589497344720621
1983-05-02,136649075.0,135369987,131139859,133767278,6689264,2.380403313624436
1983-05-03,138950236.0,140054150,136623245,137151391,5834668,-0.0295009704528722
1983-05-04,142635127.0,141332687,134766124,140285031,5685577,0.9681842399488216
1983-05-06,142871562.0,144997978,141821065,142878681,7232631,-0.4023858919173799
1983-05-07,144453868.0,145501371,142600730,143405262,2972433,-0.1368328917372296
1983-05-09,143649703.0,145515562,144176945,144190716,6226784,0.0920311111963053
1983-05-10,134463491.0,144176287,137611773,138143388,3057499,-2.495345729660991
1983-05-11,133658319.0,137079095,132614704,136278874,2924688,-1.7593257591094245
1983-05-12,124490806.0,133665079,124747381,126059675,2428011,-2.7169989568004835
1983-05-13,126827528.0,130518005,123700448,127099334,4265062,0.3844108019081085
1983-05-14,124207564.0,126846119,124463251,125789677,1498668,-0.5525259527941946
1983-05-16,121551333.0,124472338,119201577,120773050,2558924,-2.52291922120472
1983-05-17,121275666.0,124706028,121018931,122069854,2185065,-0.5398617995021473
1983-05-18,124450173.0,123130010,120471873,123124591,1678837,0.9401257979309527
1983-05-19,124479164.0,125768305,123137151,123152783,1936473,1.0133654337342002
1983-05-21,119223677.0,125785650,124460790,124465686,698324,-0.0230135177826354
1983-05-23,119730166.0,119972886,119202048,119215476,1184442,-1.1750969780377691
1983-05-24,127594350.0,125755447,119204535,125753303,676995,0.3784946515967872
1983-05-25,130975153.0,131778982,127586188,129941023,1173650,0.1799714341954051
1983-05-26,128362240.0,131764727,127837545,129407825,1345392,-0.6785600520448367
1983-05-27,130973264.0,129672896,127047877,129671714,1751507,-0.0434731892387777
1983-05-28,129663989.0,131763621,130707155,130712265,1359557,0.5991926362074635
1983-05-30,127044456.0,129669701,126519333,128351921,1033326,-0.4579779478063401
1983-05-31,126522157.0,127838120,123386137,127044848,1744815,-0.4889487861119093
1983-06-01,124426068.0,126527576,124690866,124954626,1726809,-0.0316880044935215
1983-06-02,120220374.0,124689226,121795808,121799699,1749393,-0.7971407626782638
1983-06-03,121785727.0,121794963,119426746,121782041,1111479,-0.4924145366526822
1983-06-04,122575146.0,122840257,121783751,122577158,725571,0.2579391363216793
1983-06-07,120721135.0,122577854,120204166,120207531,1209005,-0.4723609853701821
1983-06-08,119669010.0,120724659,118095013,119148765,2957039,-0.7296478872819311
1983-06-09,119143202.0,120459015,116532614,119149016,868859,-0.4014040121692043
1983-06-10,116531477.0,119144304,117309345,117833184,1059512,-0.5662534086247205
1983-06-11,115217092.0,116534036,115216918,115223121,1163229,-0.1009499638528431
1983-06-13,115212754.0,115483185,114953024,115216820,1051488,-0.0473024644480524
1983-06-14,122573119.0,123094865,114429683,123093284,1461379,3.8119512235357127
1983-06-15,118112899.0,122574594,119162994,120473094,1422678,-1.0544116700629176
1983-06-16,114964118.0,118114898,116528346,116534142,556424,-1.4090544644006102
1983-06-17,116543626.0,120472289,114961127,119155311,1247868,0.4548667075729372
1983-06-18,117583415.0,118635013,115754065,118630370,619545,0.0315782214209693
1983-06-20,116533825.0,117589074,116537153,117586195,756101,0.2279150829473752
1983-06-21,118650171.0,119184638,115228489,119175059,2742203,1.6158654424704422
1983-06-22,116038191.0,118660088,116546194,117611628,2054594,-0.2566065166606259
1983-06-23,115254710.0,117357804,115245447,116301830,2830421,0.2620448748495812
1983-06-24,115777301.0,116052032,115240076,115260970,2774994,0.1246238825871826
1983-06-25,115795890.0,115771193,114729736,115260128,1406445,0.3376299869197896
1983-06-27,116846958.0,117897582,115786757,116582889,3162600,0.9850645090708696
1983-06-28,116589809.0,117109781,113697619,115009205,2047636,-0.7855643074344998
1983-06-29,110302828.0,116592161,111341004,111355761,2380847,-0.9430408550869892
1983-06-30,110554779.0,111348216,110285153,110557624,1976426,-0.8746632640094024
1983-07-01,107412536.0,110556484,106371309,107416966,993070,-0.0982167113238408
1983-07-02,95653484.0,107418727,99576745,99581096,633986,-0.594309301437671
1983-07-04,98266097.0,99568983,92507682,99560986,630947,-0.6984219263238091
1983-07-05,100875539.0,100868532,95648088,100877878,764674,0.2771605537871159
1983-07-06,100882896.0,102194482,98784964,101923903,1512370,0.3632268334024108
1983-07-07,101405751.0,102976413,100094703,101927569,1817723,0.322525678920622
1983-07-08,102191582.0,105586786,100880291,105583680,836656,0.4301570963607814
1983-07-09,102187288.0,102201460,102188100,102200170,900048,0.3701556946180368
1983-07-11,100342963.0,102189868,100607091,100614458,1002579,-0.3733671676335852
1983-07-12,97722790.0,100345655,98236109,98247400,874572,-0.6813547221799081
1983-07-13,97740069.0,97739810,95362702,96953395,704528,-0.3112610407049391
1983-07-14,101138186.0,99316112,97733249,99051371,597499,0.2933988386883465
1983-07-15,100876810.0,101147369,98515750,99050331,991743,0.2664692871730338
1983-07-16,101443622.0,100884846,96434214,96445621,391861,0.1949960786686735
1983-07-18,103526340.0,104335483,100116400,103258711,2734754,1.653260214232664
1983-07-19,100898281.0,103793098,100906384,100908613,1258336,0.4049200589321006
1983-07-20,100893549.0,102208754,98801904,99854662,1887510,-0.2415851380330745
1983-07-21,102234904.0,102224132,98800414,102219478,1929421,0.9675388024991616
1983-07-22,101452546.0,102244645,100395249,101188438,1752024,0.4897967742547456
1983-07-23,102757360.0,102242887,101450123,101455838,1193003,0.6047487527934334
1983-07-25,99625892.0,102766206,99619670,100148950,1229444,0.0398626269276737
1983-07-26,98833303.0,100152866,98830503,98835546,698516,0.4610914671947673
1983-07-27,99097044.0,99620512,98824261,99095959,1767036,0.5411498226274538
1983-07-28,100942328.0,100935342,99095260,99628664,1176242,1.001494183740106
1983-07-29,101202803.0,102260405,100931541,102256915,2303305,1.2727677385995178
1983-07-30,97012061.0,101205646,97022888,97287539,1024233,0.3966536662709673
1983-08-01,95709652.0,97016112,95697308,96750875,674932,-0.230560753910425
1983-08-02,96230327.0,97020897,95702451,96752966,847712,0.195742776517001
1983-08-03,96492400.0,97025582,95702422,96500107,1209060,0.173066729786685
1983-08-04,97824545.0,98074294,96490286,98071163,1241032,0.5050139175726217
1983-08-05,96256951.0,97831990,96245632,96515099,1291921,0.2644771263185039
1983-08-06,95980010.0,96259082,95729487,95731590,907796,-0.2019286284144865
1983-08-08,95712640.0,95984269,95448001,95453521,727168,-0.8453844861949507
1983-08-09,95710956.0,95721888,94663128,95195505,819810,-0.1433140065624334
1983-08-10,94925751.0,95719537,94398542,95192034,1382035,-0.5613350195466433
1983-08-11,93864193.0,94928466,93872261,93875879,1220408,0.0781598352777217
1983-08-12,92811814.0,101442453,93000954,93084988,1872254,-0.194644116159932
1983-08-13,94359276.0,94645045,92809448,93073653,713055,-0.10961103203084
1983-08-16,91726180.0,94364871,92515370,92522282,896487,-0.8713122403071867
1983-08-17,88570982.0,91727339,89358440,89624655,1486822,-1.33029894864861
1983-08-18,90419278.0,90941070,88567085,90418062,1859229,0.2206652232475791
1983-08-19,88560974.0,93030436,88577412,89101352,1140612,-0.3864137503451538
1983-08-20,88320533.0,88586548,87796092,88062546,768745,-0.0617519670789248
1983-08-22,88320394.0,89383414,88319488,88334165,978488,0.3936444031627909
1983-08-23,86998740.0,88323338,86742761,87532529,736409,-0.6467454100327807
1983-08-24,84644538.0,87002085,83336452,84647052,758807,-1.0815908270541357
1983-08-25,82812455.0,84647172,82811217,82813765,680725,-0.5897673766433579
1983-08-26,80448608.0,82814457,80192544,80456698,1705941,-0.8147363899484059
1983-08-27,82025673.0,82544936,79924236,82543278,723511,0.2532066114825568
1983-08-29,79401682.0,82027273,77048564,79928218,958828,-0.6426105576491579
1983-08-30,76790465.0,80197918,77304538,77317151,625385,0.0858945469875766
1983-08-31,77301283.0,78100188,75995729,77829576,848745,-0.3544111518343049
1983-09-01,79382337.0,77303207,76506595,76771022,1193406,-1.1642877362245565
1983-09-02,79121866.0,80702314,77288641,77817921,1079758,0.0080377470354284
1983-09-03,82780634.0,82263298,79119628,82257973,512119,0.3045172357328641
1983-09-05,89085856.0,89067146,82778220,89063271,898472,0.8869040025460639
1983-09-06,90146903.0,90404893,86722911,90138035,721397,0.9523487419338456
1983-09-07,90693587.0,91213139,89881218,90426684,2431761,1.92972003848756
1983-09-08,89910769.0,90698604,87286000,89126664,2178142,-0.2555348522592493
1983-09-09,89632402.0,93314069,89377163,89382352,2279417,-0.1634104735795096
1983-09-10,89093955.0,90942732,89625617,90410680,739037,-0.7751775904473733
1983-09-12,86728146.0,90402293,88293278,88302470,1099200,-1.0870745151399208
1983-09-13,87508210.0,87780634,84631050,87773881,987648,-0.4196811335093597
1983-09-14,84625311.0,89076262,84627174,84628764,977773,-0.3300477763195186
1983-09-15,83312735.0,84626605,83308639,83835463,720411,-0.142543284483896
1983-09-16,88549864.0,87761160,82525945,87759983,939883,0.1552542768547156
1983-09-17,88043337.0,88557169,86718623,86728004,469821,0.5176827158305164
1983-09-19,85947095.0,88037102,85678531,85683872,1164078,-0.1193453825339543
1983-09-20,89362165.0,89087993,85942424,89085881,886956,0.3522860092402243
1983-09-22,86741756.0,90146008,88833263,88836006,870662,0.2423792184210205
1983-09-23,84891581.0,87265501,85943486,87251824,1142530,-0.4449366144752358
1983-09-24,83828887.0,85937812,84624640,84630361,969849,-0.3748174510623746
1983-09-26,81999967.0,83833609,82254414,83047211,1883806,-0.8801433466129325
1983-09-27,67890626.0,82001540,75194061,75204624,1154393,-0.909419397322034
1983-09-28,76001424.0,76262661,67623467,75999590,1160513,0.3549622172019559
1983-09-29,74670634.0,76004829,70764671,73381611,919297,-0.8686521881194398
1983-09-30,78618793.0,76265869,74668904,76265274,1316884,0.8891313331181975
1983-10-04,76516798.0,78622367,76247911,76513256,525532,0.0833190671626588
1983-10-05,74157421.0,76521371,74162184,74690080,1282972,-0.2565226943141876
1983-10-06,73632100.0,74682446,72840990,73633357,1642131,-0.1731152753718536
1983-10-07,72059670.0,73634206,72059711,72062068,1743057,-0.1740598931378716
1983-10-08,66293907.0,72062187,71273707,71535991,702023,-0.2015505344323714
1983-10-10,72328341.0,70224249,66293246,69434851,844965,-1.0792350605946046
1983-10-11,72864494.0,73385546,72325933,72858463,1066570,2.09415774993966
1983-10-12,66337192.0,72878680,66062372,66853126,1942031,0.9723838410288614
1983-10-13,69498425.0,68707755,66333023,68437275,1574889,1.7390910911743696
1983-10-14,68193974.0,70036554,68971273,69242379,2407760,1.5709231537173105
1983-10-15,67921390.0,68718541,68182372,68187189,1316969,-0.2013781681443293
1983-10-17,65028012.0,67925474,65565251,65568807,1243249,0.0550207168848538
1983-10-18,60863822.0,65050928,59270298,60340957,1530469,-0.5705750380055732
1983-10-19,60584448.0,62177275,60332543,60339147,1723542,0.7498091558186267
1983-10-20,53787152.0,60586651,55088581,55093184,2146546,-0.5218948944912775
1983-10-21,61905564.0,60599515,53518422,60335185,781330,0.555473541238523
1983-10-22,61385799.0,62959250,7362527,61129249,829411,0.6237086920115114
1983-10-24,59279935.0,61388423,59022993,59288055,952696,-0.4850651256084873
1983-10-25,57712029.0,59284863,56665866,57714952,1519623,-0.2580090610470449
1983-10-26,61621881.0,61638489,56665690,60593258,1498480,0.6429199741512203
1983-10-27,61609310.0,61885120,59260258,59787354,1219346,0.3208522571545121
1983-10-28,65041355.0,65575646,61606891,64521326,2201545,2.0884910487110293
1983-10-29,65563488.0,65568726,63987833,65042086,997266,1.2603878623507618
1983-10-31,70264359.0,71588082,65561043,70801116,1846045,1.5884461853569092
1983-11-01,69490329.0,72641679,67134375,68967009,3440625,0.664591477455251
1983-11-02,68192033.0,71602899,65572427,67413204,3934700,0.8262150159986924
1983-11-03,67155316.0,69251322,65576306,66892025,3594225,0.4591046366848644
1983-11-04,65586066.0,67943796,66885426,66891179,2484709,-0.6480475788044916
1983-11-05,69242374.0,67939308,65581046,67935979,670605,-0.4287024302123141
1983-11-07,69253480.0,72387751,68196427,69508480,888761,0.0693139992067163
1983-11-08,66884704.0,69779882,66361554,66887331,887454,-1.0326146433890528
1983-11-09,67406014.0,69242685,66879953,66884684,833613,-0.179918460519862
1983-11-10,69772099.0,69501021,67141421,68976180,898654,0.4623407843799844
1983-11-11,68448117.0,71083863,67673339,68459841,784427,0.0778844151004778
1983-11-12,67141501.0,68450904,67137587,67139781,532610,-0.1442416490668346
1983-11-14,66612609.0,67665191,67133842,67136481,613323,-0.3539450538117132
1983-11-15,70810247.0,68708208,66086702,68180970,659759,-0.2869594067046004
1983-11-16,68975707.0,71346467,67410181,68459259,1155531,1.680591989137816
1983-11-17,67378455.0,68978196,67392294,67658040,1584463,-0.3921122820223137
1983-11-18,66842146.0,67649907,66850955,66858847,1478586,-0.2672512137648312
1983-11-19,65791069.0,66846508,66056598,66323125,1167297,-0.3252903165960681
1983-11-21,65758044.0,66315621,65521398,65783642,782927,-0.6159022364280999
1983-11-22,65511051.0,65768909,65496449,65506962,1161284,-0.0659748421403783
1983-11-23,63160728.0,65513158,64199595,64723139,1116528,0.0143053724785689
1983-11-24,61857223.0,64209135,62106847,62897271,659168,-0.2415908052211628
1983-11-25,61596271.0,62903349,61331170,61595339,918870,-0.2278571820769559
1983-11-26,61081143.0,61601741,60288531,61078395,343242,-0.1766625148217906
1983-11-28,61860786.0,63954895,60811942,61074769,689634,-0.3231345933056193
1983-11-29,60806901.0,62909682,60286634,60291566,1125327,0.0314578795416106
1983-11-30,61070543.0,61074817,60281737,60811494,972886,0.1371276794187321
1983-12-01,60009296.0,61597015,59498762,59502313,1292588,0.4094437079992377
1983-12-02,57127205.0,60010962,56600823,57649988,886350,-0.3606559148754807
1983-12-03,55031268.0,57128878,55021261,55555841,1051307,-0.2421108103360645
1983-12-05,59214073.0,59217924,55013364,59214283,1055785,0.3603528899423651
1983-12-06,56566719.0,59220925,57643813,57648060,899824,0.4100079855412644
1983-12-07,56830931.0,56571190,54989446,56304481,984290,-0.6648985983261951
1983-12-08,61565091.0,60242342,56828407,60241612,1093988,1.5470960698388367
1983-12-09,60255552.0,61833884,58948719,61566467,1288154,0.4025639566840038
1983-12-10,58957225.0,60262072,59208228,60261081,800602,0.223037886848568
1983-12-12,59736169.0,61061639,58953032,59747200,1423702,0.9688031626433884
1983-12-13,58969496.0,59742218,58426091,58954771,2835756,0.4362195495859606
1983-12-14,55047118.0,58972349,55569704,57659875,4505099,0.1786670061280977
1983-12-15,56339897.0,57399250,54508109,56339250,2115501,-0.3340799434925871
1983-12-16,55298744.0,56345151,55553223,55556302,1545264,0.7360442313482322
1983-12-17,55820222.0,55566362,55033865,55301233,1199563,0.7810654145920375
1983-12-19,55042895.0,56350220,55034329,55041086,1725353,0.9660604327829198
1983-12-20,53721150.0,55045951,53462570,53730383,2692711,-0.2070898610665439
1983-12-21,51366584.0,53730158,51100035,51106942,1572480,-0.90283162126255
1983-12-22,53198374.0,53735752,51362731,53209151,1879499,0.4641053711518955
1983-12-23,54261568.0,54260890,53192188,54257220,3220116,0.7242007354616385
1983-12-24,52138513.0,54267875,51903885,52429951,1353133,0.2838258710849671
1984-01-04,51355801.0,52146167,51092310,51356535,462174,-5.753397610379781
1984-01-05,48465260.0,51373470,50038688,50053522,1110353,-0.002266648725464
1984-01-06,46882298.0,49252896,47147590,47411661,1332329,-0.3531519724201015
1984-01-07,47404691.0,46886241,46088959,46619180,1481723,-0.5284813215300529
1984-01-09,46365596.0,48460691,46614790,46883673,2299743,1.0865606814200317
1984-01-10,44798198.0,46369562,44008167,44535152,2811148,0.2987523615432709
1984-01-11,58413791.0,52400952,44794630,52400324,2766955,3.059981963597292
1984-01-12,58938789.0,58964015,56320296,57634569,4934225,0.4583188376778641
1984-01-13,58421297.0,62091784,57631403,60517726,2863758,0.4623648123601681
1984-01-14,57642893.0,59997760,57630946,57634264,1025906,-0.9340072276187644
1984-01-16,59735977.0,61570436,57640911,58432779,3448402,0.7790444459527058
1984-01-17,58420049.0,59737856,57630927,58421675,1441339,-0.5309884418807184
1984-01-18,56850558.0,58947009,56060426,56325505,1875618,-0.0993293340119738
1984-01-19,57901345.0,57648939,56324344,57638419,2860673,0.7136436536345072
1984-01-20,57635043.0,60256906,56325259,56328652,7000537,-0.0771138699270567
1984-01-21,56300905.0,58681108,56845960,56849134,2577483,0.2647719937951643
1984-01-23,58119785.0,58396064,56294589,57610615,3498114,1.366120160772008
1984-01-24,58137748.0,61005375,57590775,58119634,6111236,0.4593676989323965
1984-01-25,56303642.0,58927180,56558829,56827500,5216867,0.4481752243425672
1984-01-26,57614897.0,57362541,55775728,56313320,3583489,0.2670073232836253
1984-01-27,58406243.0,57884331,56560948,57614622,3928507,1.2318794886760638
1984-01-28,55549442.0,58413335,56313191,56319169,3434837,1.7734836739371034
1984-01-30,56871596.0,58177833,55540760,56344458,5142385,2.1036975898737884
1984-01-31,56873624.0,57149186,55556647,57133949,7690234,1.5293084960937484
1984-02-01,64766039.0,64483694,56337836,61870872,7987741,3.085935900570433
1984-02-02,72362258.0,69754092,64759847,69742054,6704198,2.373697829736889
1984-02-03,64482044.0,73152924,62915851,65269383,6180001,-2.037257843321956
1984-02-04,66862013.0,66854130,64479715,66851020,4974487,1.2080886982406625
1984-02-06,69740956.0,69762180,66328606,66859453,9768938,1.3576117937180778
1984-02-07,76785706.0,74724541,69722113,74699131,9289904,0.3245831593882053
1984-02-08,80425762.0,82546390,73374347,82528159,6980561,-0.1608825674893158
1984-02-09,75684837.0,80427963,74648453,75437973,3755067,-2.645262485517614
1984-02-10,84078097.0,82765717,75681342,82760178,6965477,0.8309063012119702
1984-02-11,90378805.0,89842525,84075227,87750654,3540875,2.0579964020056973
1984-02-13,86717045.0,93013929,87230194,87764700,7756087,1.9338218177946684
1984-02-14,83850598.0,89087307,85396156,85416972,5304842,0.9118947432942274
1984-02-15,85441629.0,85187905,83578946,83613600,3606456,0.4465876577942608
1984-02-16,82545989.0,87289133,82542494,82817974,4838160,-0.4193064972368774
1984-02-17,82524842.0,84644322,82004434,82532454,2665935,-1.6035589997541548
1984-02-18,78345942.0,82529867,80166965,80173693,3100289,-0.2025799270852575
1984-02-20,74665173.0,78872794,73353510,73358134,2615097,-1.629247212584442
1984-02-21,79370345.0,78336961,73346944,77800050,2644575,-0.6306747187997415
1984-02-22,80421597.0,81204352,77792661,80410900,2703946,-0.0211691707666655
1984-02-23,75963669.0,81211062,76231081,76497875,2184753,-0.0487627591189172
1984-02-24,80695094.0,79630535,75952581,79625867,2338296,0.2768013048354172
